,carat,cut,color,clarity,depth,table,price ,x,y,z
69,0.31,Premium,G,SI1,61.8,58,46120.2,4.35,4.32,2.68
70,0.24,Premium,E,VVS1,60.7,58,46120.2,4.01,4.03,2.44
71,0.24,Very Good,D,VVS1,61.5,60,46120.2,3.97,4,2.45
72,0.3,Very Good,H,SI1,63.1,56,46203.6,4.29,4.27,2.7
73,0.3,Premium,H,SI1,62.9,59,46203.6,4.28,4.24,2.68
74,0.3,Premium,H,SI1,62.5,57,46203.6,4.29,4.25,2.67
75,0.3,Good,H,SI1,63.7,57,46203.6,4.28,4.26,2.72
76,0.26,Very Good,F,VVS2,59.2,60,46203.6,4.19,4.22,2.49
77,0.26,Very Good,E,VVS2,59.9,58,46203.6,4.15,4.23,2.51
78,0.26,Very Good,D,VVS2,62.4,54,46203.6,4.08,4.13,2.56
79,0.26,Very Good,D,VVS2,62.8,60,46203.6,4.01,4.05,2.53
80,0.26,Very Good,E,VVS1,62.6,59,46203.6,4.06,4.09,2.55
81,0.26,Very Good,E,VVS1,63.4,59,46203.6,4,4.04,2.55
82,0.26,Very Good,D,VVS1,62.1,60,46203.6,4.03,4.12,2.53
83,0.26,Ideal,E,VVS2,62.9,58,46203.6,4.02,4.06,2.54
84,0.38,Ideal,I,SI2,61.6,56,46203.6,4.65,4.67,2.87
85,0.26,Good,E,VVS1,57.9,60,46203.6,4.22,4.25,2.45
86,0.24,Premium,G,VVS1,62.3,59,46203.6,3.95,3.92,2.45
87,0.24,Premium,H,VVS1,61.2,58,46203.6,4.01,3.96,2.44
88,0.24,Premium,H,VVS1,60.8,59,46203.6,4.02,4,2.44
89,0.24,Premium,H,VVS2,60.7,58,46203.6,4.07,4.04,2.46
90,0.32,Premium,I,SI1,62.9,58,46203.6,4.35,4.33,2.73
91,0.7,Ideal,E,SI1,62.5,57,229933.8,5.7,5.72,3.57
92,0.86,Fair,E,SI2,55.1,69,229933.8,6.45,6.33,3.52
93,0.7,Ideal,G,VS2,61.6,56,229933.8,5.7,5.67,3.5
94,0.71,Very Good,E,VS2,62.4,57,230100.6,5.68,5.73,3.56
95,0.78,Very Good,G,SI2,63.8,56,230100.6,5.81,5.85,3.72
96,0.7,Good,E,VS2,57.5,58,230100.6,5.85,5.9,3.38
97,0.7,Good,F,VS1,59.4,62,230100.6,5.71,5.76,3.4
98,0.96,Fair,F,SI2,66.3,62,230100.6,6.27,5.95,4.07
99,0.73,Very Good,E,SI1,61.6,59,230184,5.77,5.78,3.56
100,0.8,Premium,H,SI1,61.5,58,230184,5.97,5.93,3.66
101,0.75,Very Good,D,SI1,63.2,56,230184,5.8,5.75,3.65
102,0.75,Premium,E,SI1,59.9,54,230184,6,5.96,3.58
103,0.74,Ideal,G,SI1,61.6,55,230184,5.8,5.85,3.59
104,0.75,Premium,G,VS2,61.7,58,230184,5.85,5.79,3.59
105,0.8,Ideal,I,VS1,62.9,56,230184,5.94,5.87,3.72
106,0.75,Ideal,G,SI1,62.2,55,230184,5.87,5.8,3.63
107,0.8,Premium,G,SI1,63,59,230184,5.9,5.81,3.69
108,0.74,Ideal,I,VVS2,62.3,55,230267.4,5.77,5.81,3.61
109,0.81,Ideal,F,SI2,58.8,57,230267.4,6.14,6.11,3.6
110,0.59,Ideal,E,VVS2,62,55,230267.4,5.38,5.43,3.35
111,0.8,Ideal,F,SI2,61.4,57,230267.4,5.96,6,3.67
112,0.74,Ideal,E,SI2,62.2,56,230267.4,5.8,5.84,3.62
113,0.9,Premium,I,VS2,63,58,230267.4,6.16,6.12,3.87
114,0.74,Very Good,G,SI1,62.2,59,230350.8,5.73,5.82,3.59
115,0.73,Ideal,F,VS2,62.6,56,230350.8,5.77,5.74,3.6
116,0.73,Ideal,F,VS2,62.7,53,230350.8,5.8,5.75,3.62
117,0.8,Premium,F,SI2,61.7,58,230350.8,5.98,5.94,3.68
118,0.71,Ideal,G,VS2,62.4,54,230350.8,5.72,5.76,3.58
119,0.7,Ideal,E,VS2,60.7,58,230350.8,5.73,5.76,3.49
120,0.8,Ideal,F,SI2,59.9,59,230350.8,6.01,6.07,3.62
121,0.71,Ideal,D,SI2,62.3,56,230350.8,5.73,5.69,3.56
122,0.74,Ideal,E,SI1,62.3,54,230350.8,5.8,5.83,3.62
123,0.7,Very Good,F,VS2,61.7,63,230350.8,5.64,5.61,3.47
124,0.7,Fair,F,VS2,64.5,57,230350.8,5.57,5.53,3.58
125,0.7,Fair,F,VS2,65.3,55,230350.8,5.63,5.58,3.66
126,0.7,Premium,F,VS2,61.6,60,230350.8,5.65,5.59,3.46
127,0.91,Premium,H,SI1,61.4,56,230434.2,6.09,5.97,3.7
128,0.61,Very Good,D,VVS2,59.6,57,230434.2,5.56,5.58,3.32
129,0.91,Fair,H,SI2,64.4,57,230434.2,6.11,6.09,3.93
130,0.91,Fair,H,SI2,65.7,60,230434.2,6.03,5.99,3.95
131,0.77,Ideal,H,VS2,62,56,230434.2,5.89,5.86,3.64
132,0.71,Very Good,D,SI1,63.6,58,230517.6,5.64,5.68,3.6
133,0.71,Ideal,D,SI1,61.9,59,230517.6,5.69,5.72,3.53
134,0.7,Very Good,E,VS2,62.6,60,230601,5.62,5.65,3.53
135,0.77,Very Good,H,VS1,61.3,60,230601,5.88,5.9,3.61
136,0.63,Premium,E,VVS1,60.9,60,230601,5.52,5.55,3.37
137,0.71,Very Good,F,VS1,60.1,62,230601,5.74,5.77,3.46
138,0.71,Premium,F,VS1,61.8,59,230601,5.69,5.73,3.53
139,0.76,Ideal,H,SI1,61.2,57,230601,5.88,5.91,3.61
140,0.64,Ideal,G,VVS1,61.9,56,230684.4,5.53,5.56,3.43
141,0.71,Premium,G,VS2,60.9,57,230684.4,5.78,5.75,3.51
142,0.71,Premium,G,VS2,59.8,56,230684.4,5.89,5.81,3.5
143,0.7,Very Good,D,VS2,61.8,55,230767.8,5.68,5.72,3.52
144,0.7,Very Good,F,VS1,60,57,230767.8,5.8,5.87,3.5
145,0.71,Ideal,D,SI2,61.6,55,230767.8,5.74,5.76,3.54
146,0.7,Good,H,VVS2,62.1,64,230767.8,5.62,5.65,3.5
147,0.71,Very Good,G,VS1,63.3,59,230851.2,5.52,5.61,3.52
148,0.73,Very Good,D,SI1,60.2,56,230851.2,5.83,5.87,3.52
149,0.7,Very Good,D,SI1,61.1,58,230851.2,5.66,5.73,3.48
150,0.7,Ideal,E,SI1,60.9,57,230851.2,5.73,5.76,3.5
151,0.71,Premium,D,SI2,61.7,59,230851.2,5.71,5.67,3.51
152,0.74,Ideal,I,SI1,61.3,56,230934.6,5.82,5.86,3.57
153,0.71,Premium,D,VS2,62.5,60,231018,5.65,5.61,3.52
154,0.73,Premium,G,VS2,61.4,59,231018,5.83,5.76,3.56
155,0.76,Very Good,F,SI1,62.9,57,231018,5.79,5.81,3.65
156,0.76,Ideal,D,SI2,62.4,57,231018,5.78,5.83,3.62
157,0.71,Ideal,F,SI1,60.7,56,231018,5.77,5.8,3.51
158,0.73,Premium,G,VS2,60.7,58,231018,5.87,5.82,3.55
159,0.73,Premium,G,VS1,61.5,58,231018,5.79,5.75,3.55
160,0.73,Ideal,D,SI2,59.9,57,231018,5.92,5.89,3.54
161,0.73,Premium,G,VS2,59.2,59,231018,5.92,5.87,3.49
162,0.72,Very Good,H,VVS2,60.3,56,231101.4,5.81,5.83,3.51
163,0.73,Very Good,F,SI1,61.7,60,231101.4,5.79,5.82,3.58
164,0.71,Ideal,G,VS2,61.9,57,231101.4,5.73,5.77,3.56
165,0.79,Ideal,F,SI2,61.9,55,231101.4,5.97,5.92,3.68
166,0.73,Very Good,H,VVS1,60.4,59,231184.8,5.83,5.89,3.54
167,0.8,Very Good,F,SI2,61,57,231184.8,6.01,6.03,3.67
168,0.58,Ideal,G,VVS1,61.5,55,231184.8,5.39,5.44,3.33
169,0.58,Ideal,F,VVS1,61.7,56,231184.8,5.33,5.37,3.3
170,0.71,Good,E,VS2,59.2,61,231184.8,5.8,5.88,3.46
171,0.75,Ideal,D,SI2,61.3,56,231268.2,5.85,5.89,3.6
172,0.7,Premium,D,VS2,58,62,231268.2,5.87,5.78,3.38
173,1.17,Very Good,J,I1,60.2,61,231351.6,6.83,6.9,4.13
174,0.6,Ideal,E,VS1,61.7,55,231351.6,5.41,5.44,3.35
175,0.7,Ideal,E,SI1,62.7,55,231351.6,5.68,5.74,3.58
176,0.83,Good,I,VS2,64.6,54,231351.6,5.85,5.88,3.79
177,0.74,Very Good,F,VS2,61.3,61,231435,5.8,5.84,3.57
178,0.72,Very Good,G,VS2,63.7,56.4,231518.4,5.62,5.69,3.61
179,0.71,Premium,E,VS2,62.7,58,231518.4,5.74,5.68,3.58
180,0.71,Ideal,E,VS2,62.2,57,231518.4,5.79,5.62,3.55
181,0.54,Ideal,E,VVS2,61.6,56,231518.4,5.25,5.27,3.24
182,0.54,Ideal,E,VVS2,61.5,57,231518.4,5.24,5.26,3.23
183,0.72,Ideal,G,SI1,61.8,56,231518.4,5.72,5.75,3.55
184,0.72,Ideal,G,SI1,60.7,56,231518.4,5.79,5.82,3.53
185,0.72,Good,G,VS2,59.7,60.5,231518.4,5.8,5.84,3.47
186,0.71,Ideal,G,SI1,60.5,56,231518.4,5.8,5.76,3.5
187,0.7,Very Good,D,VS1,62.7,58,231601.8,5.66,5.73,3.57
188,0.71,Premium,F,VS2,62.1,58,231601.8,5.67,5.7,3.53
189,0.71,Very Good,F,VS2,62.8,57,231601.8,5.64,5.69,3.56
190,0.71,Good,F,VS2,63.8,58,231601.8,5.61,5.64,3.59
191,0.71,Good,F,VS2,57.8,60,231601.8,5.87,5.9,3.4
192,0.7,Ideal,E,VS2,62.1,55,231601.8,5.7,5.67,3.53
193,0.7,Premium,E,VS2,61.1,60,231601.8,5.71,5.64,3.47
194,0.7,Premium,E,SI1,60,59,231601.8,5.79,5.75,3.46
195,0.7,Premium,E,SI1,61.2,57,231601.8,5.73,5.68,3.49
196,0.7,Premium,E,SI1,62.7,59,231601.8,5.67,5.63,3.54
197,0.7,Premium,E,SI1,61,57,231601.8,5.73,5.68,3.48
198,0.7,Premium,E,SI1,61,58,231601.8,5.78,5.72,3.51
199,0.7,Ideal,E,SI1,61.4,57,231601.8,5.76,5.7,3.52
200,0.72,Premium,F,SI1,61.8,61,231601.8,5.82,5.71,3.56
201,0.7,Very Good,E,SI1,59.9,63,231601.8,5.76,5.7,3.43
202,0.7,Premium,E,SI1,61.3,58,231601.8,5.71,5.68,3.49
203,0.7,Premium,E,SI1,60.5,58,231601.8,5.77,5.74,3.48
204,0.7,Good,E,VS2,64.1,59,231601.8,5.64,5.59,3.6
205,0.98,Fair,H,SI2,67.9,60,231601.8,6.05,5.97,4.08
206,0.78,Premium,F,SI1,62.4,58,231601.8,5.83,5.8,3.63
207,0.7,Very Good,E,SI1,63.2,60,231601.8,5.6,5.51,3.51
208,0.52,Ideal,F,VVS1,61.3,55,231685.2,5.19,5.22,3.19
209,0.73,Very Good,H,VS2,60.8,56,231768.6,5.82,5.84,3.55
210,0.74,Ideal,E,SI1,61.7,56,231768.6,5.84,5.8,3.59
211,0.7,Very Good,F,VS2,63.6,57,231852,5.61,5.65,3.58
212,0.77,Premium,G,VS2,61.2,58,231852,5.9,5.93,3.62
213,0.71,Ideal,F,VS2,62.1,54,231852,5.68,5.72,3.54
214,0.74,Ideal,G,VS1,61.5,55,231852,5.81,5.86,3.59
215,0.7,Ideal,G,VS1,61.4,59,231852,5.64,5.73,3.49
216,1.01,Premium,F,I1,61.8,60,231935.4,6.39,6.36,3.94
217,0.77,Ideal,H,SI1,62.2,56,231935.4,5.83,5.88,3.64
218,0.78,Ideal,H,SI1,61.2,56,231935.4,5.92,5.99,3.64
219,0.72,Very Good,H,VS1,60.6,63,232018.8,5.83,5.76,3.51
220,0.53,Very Good,D,VVS2,57.5,64,232018.8,5.34,5.37,3.08
221,0.76,Ideal,G,VS2,61.3,56,232018.8,5.9,5.94,3.63
222,0.7,Good,E,VS1,57.2,62,232018.8,5.81,5.77,3.31
223,0.7,Premium,E,VS1,62.9,60,232018.8,5.62,5.54,3.51
224,0.75,Very Good,D,SI2,63.1,58,232018.8,5.78,5.73,3.63
225,0.72,Ideal,D,SI1,60.8,57,232018.8,5.76,5.75,3.5
226,0.72,Premium,D,SI1,62.7,59,232018.8,5.73,5.69,3.58
227,0.7,Premium,D,SI1,62.8,60,232018.8,5.68,5.66,3.56
228,0.84,Fair,G,SI1,55.1,67,232018.8,6.39,6.2,3.47
229,0.75,Premium,F,SI1,61.4,59,232018.8,5.88,5.85,3.6
230,0.52,Ideal,F,IF,62.2,55,232102.2,5.14,5.18,3.21
231,0.72,Very Good,F,VS2,63,54,232185.6,5.69,5.73,3.6
232,0.79,Very Good,H,VS1,63.7,56,232185.6,5.85,5.92,3.75
233,0.72,Very Good,F,VS2,63.6,58,232435.8,5.66,5.69,3.61
234,0.51,Ideal,F,VVS1,62,57,232435.8,5.11,5.15,3.18
235,0.64,Ideal,D,VS1,61.5,56,232435.8,5.54,5.55,3.41
236,0.7,Very Good,H,VVS1,60.5,60,232519.2,5.74,5.77,3.48
237,0.83,Very Good,I,VS1,61.1,60,232519.2,6.07,6.1,3.72
238,0.76,Ideal,I,VVS2,61.8,56,232519.2,5.85,5.87,3.62
239,0.71,Good,D,VS2,63.3,56,232519.2,5.64,5.68,3.58
240,0.77,Good,G,VS1,59.4,64,232519.2,5.97,5.92,3.53
241,0.71,Ideal,F,SI1,62.5,55,232519.2,5.71,5.65,3.55
242,1.01,Fair,E,I1,64.5,58,232519.2,6.29,6.21,4.03
243,1.01,Premium,H,SI2,62.7,59,232519.2,6.31,6.22,3.93
244,0.77,Good,F,SI1,64.2,52,232602.6,5.81,5.77,3.72
245,0.76,Good,E,SI1,63.7,54,232602.6,5.76,5.85,3.7
246,0.76,Premium,E,SI1,60.4,58,232602.6,5.92,5.94,3.58
247,0.76,Premium,E,SI1,61.8,58,232602.6,5.82,5.86,3.61
248,1.05,Very Good,J,SI2,63.2,56,232602.6,6.49,6.45,4.09
249,0.81,Ideal,G,SI2,61.6,56,232602.6,5.97,6.01,3.69
250,0.7,Ideal,E,SI1,61.6,56,232602.6,5.72,5.75,3.53
251,0.55,Ideal,G,IF,60.9,57,232602.6,5.28,5.3,3.22
252,0.81,Good,G,SI2,61,61,232602.6,5.94,5.99,3.64
253,0.63,Premium,E,VVS2,62.1,57,232602.6,5.48,5.41,3.38
254,0.63,Premium,E,VVS1,60.9,60,232602.6,5.55,5.52,3.37
255,0.77,Premium,H,VS1,61.3,60,232602.6,5.9,5.88,3.61
256,1.05,Fair,J,SI2,65.8,59,232602.6,6.41,6.27,4.18
257,0.64,Ideal,G,IF,61.3,56,232686,5.54,5.58,3.41
258,0.76,Premium,I,VVS1,58.8,59,232686,6,5.94,3.51
259,0.83,Ideal,F,SI2,62.3,55,232686,6.02,6.05,3.76
260,0.71,Premium,F,VS1,60.1,62,232686,5.77,5.74,3.46
261,0.71,Premium,F,VS1,61.8,59,232686,5.73,5.69,3.53
262,0.87,Very Good,I,SI1,63.6,55.8,232769.4,6.07,6.1,3.87
263,0.73,Ideal,E,SI1,62.2,56,232769.4,5.74,5.78,3.58
264,0.71,Premium,E,SI1,59.2,59,232852.8,5.83,5.86,3.46
265,0.71,Premium,E,SI1,61.8,59,232852.8,5.7,5.75,3.54
266,0.71,Ideal,E,SI1,61.3,55,232852.8,5.72,5.77,3.52
267,0.7,Premium,F,VS1,62.1,60,232852.8,5.71,5.65,3.53
268,0.7,Premium,F,VS1,60.7,60,232852.8,5.78,5.75,3.5
269,0.76,Premium,H,VVS2,59.6,57,232852.8,5.91,5.86,3.51
270,0.7,Ideal,F,VS1,62.2,56,232852.8,5.73,5.68,3.55
271,0.79,Very Good,G,SI1,60.6,57,232936.2,5.98,6.06,3.65
272,0.7,Very Good,E,VS2,62.9,57,232936.2,5.66,5.69,3.57
273,0.7,Good,E,VS2,64.1,55,232936.2,5.6,5.66,3.61
274,0.76,Ideal,I,VS2,61.3,56,232936.2,5.87,5.91,3.61
275,0.73,Ideal,H,VS2,62.7,55,232936.2,5.72,5.76,3.6
276,0.79,Very Good,E,SI1,63.2,56,233019.6,5.91,5.86,3.72
277,0.71,Very Good,E,VS2,60.7,56,233103,5.81,5.82,3.53
278,0.81,Premium,I,VVS2,61.9,60,233103,5.91,5.86,3.64
279,0.81,Ideal,F,SI2,62.6,55,233103,5.92,5.96,3.72
280,0.72,Good,F,VS1,60.7,60,233103,5.74,5.72,3.48
281,0.72,Premium,D,SI2,62,60,233103,5.73,5.69,3.54
282,0.72,Premium,I,IF,63,57,233103,5.72,5.7,3.6
283,0.81,Premium,H,VS2,58,59,233103,6.17,6.13,3.57
284,0.72,Premium,G,VS2,62.9,57,233103,5.73,5.65,3.58
285,1,Premium,I,SI2,58.2,60,233103,6.61,6.55,3.83
286,0.73,Good,E,SI1,63.2,58,233186.4,5.7,5.76,3.62
287,0.81,Very Good,H,SI2,61.3,59,233269.8,5.94,6.01,3.66
288,0.81,Very Good,E,SI1,60.3,60,233269.8,6.07,6.1,3.67
289,0.71,Premium,D,SI1,62.7,60,233269.8,5.67,5.71,3.57
290,0.71,Premium,D,SI1,61.3,58,233269.8,5.73,5.75,3.52
291,0.71,Premium,D,SI1,61.6,60,233269.8,5.74,5.69,3.52
292,0.57,Ideal,F,VVS2,61.9,55,233269.8,5.34,5.35,3.31
293,0.51,Ideal,D,VVS1,61.7,56,233269.8,5.12,5.16,3.17
294,0.72,Ideal,G,VS2,61.9,58,233269.8,5.72,5.75,3.55
295,0.74,Ideal,H,VS1,61.8,58,233269.8,5.77,5.81,3.58
296,0.74,Ideal,H,VS1,61.6,56,233269.8,5.81,5.82,3.58
297,0.7,Fair,G,VVS1,58.8,66,233269.8,5.81,5.9,3.44
298,0.8,Premium,F,SI2,61,57,233269.8,6.03,6.01,3.67
299,1.01,Fair,E,SI2,67.4,60,233269.8,6.19,6.05,4.13
300,0.8,Very Good,H,VS2,63.4,60,233269.8,5.92,5.82,3.72
301,0.77,Ideal,I,VS1,61.5,59,233353.2,5.87,5.91,3.62
302,0.83,Very Good,E,SI2,58,62,233436.6,6.19,6.25,3.61
303,0.82,Ideal,F,SI2,62.4,54,233436.6,5.97,6.02,3.74
304,0.78,Ideal,D,SI1,61.9,57,233436.6,5.91,5.86,3.64
305,0.6,Very Good,G,IF,61.6,56,233520,5.43,5.46,3.35
306,0.9,Good,I,SI2,62.2,59,233520,6.07,6.11,3.79
307,0.7,Premium,E,VS1,62.2,58,233520,5.6,5.66,3.5
308,0.9,Very Good,I,SI2,61.3,56,233520,6.17,6.23,3.8
309,0.83,Ideal,G,SI1,62.3,57,233520,5.99,6.08,3.76
310,0.83,Ideal,G,SI1,61.8,57,233520,6.03,6.07,3.74
311,0.83,Very Good,H,SI1,62.5,59,233520,5.95,6.02,3.74
312,0.74,Premium,G,VS1,62.9,60,233520,5.74,5.68,3.59
313,0.79,Ideal,I,VS1,61.8,59,233520,5.92,5.95,3.67
314,0.61,Ideal,G,IF,62.3,56,233520,5.43,5.45,3.39
315,0.76,Fair,G,VS1,59,70,233520,5.89,5.8,3.46
316,0.96,Ideal,F,I1,60.7,55,233603.4,6.37,6.41,3.88
317,0.73,Ideal,F,VS2,62.5,55,233603.4,5.8,5.76,3.61
318,0.73,Premium,F,VS2,62.7,58,233603.4,5.76,5.7,3.59
319,0.75,Ideal,H,SI1,60.4,57,233603.4,5.93,5.96,3.59
320,0.71,Premium,F,VS2,62.1,58,233603.4,5.7,5.67,3.53
321,0.71,Good,F,VS2,57.8,60,233603.4,5.9,5.87,3.4
322,0.71,Good,F,VS2,63.8,58,233603.4,5.64,5.61,3.59
323,0.71,Premium,F,VS2,62.8,57,233603.4,5.69,5.64,3.56
324,1.04,Premium,G,I1,62.2,58,233603.4,6.46,6.41,4
325,1,Premium,J,SI2,62.3,58,233603.4,6.45,6.34,3.98
326,0.87,Very Good,G,SI2,59.9,58,233686.8,6.19,6.23,3.72
327,0.53,Ideal,F,IF,61.9,54,233686.8,5.22,5.25,3.24
328,0.72,Premium,E,VS2,63,55,233686.8,5.79,5.61,3.59
329,0.72,Premium,F,VS1,62.4,58,233686.8,5.83,5.7,3.6
330,0.7,Very Good,F,VS2,62.9,58,233770.2,5.63,5.65,3.55
331,0.74,Very Good,E,SI1,63.5,56,233770.2,5.74,5.79,3.66
332,0.71,Ideal,G,VS2,61.3,56,233770.2,5.75,5.71,3.51
333,0.73,Ideal,E,SI1,60.6,54,233770.2,5.84,5.89,3.55
334,0.7,Good,G,VS1,65.1,58,233770.2,5.56,5.59,3.63
335,0.71,Premium,F,VS2,62.6,58,233770.2,5.7,5.67,3.56
336,0.71,Premium,F,VS2,58,62,233770.2,5.85,5.81,3.38
337,0.71,Premium,G,VS1,62.4,61,233770.2,5.7,5.65,3.54
338,0.77,Premium,G,VS2,61.3,57,233770.2,5.93,5.88,3.62
339,0.71,Premium,G,VS2,59.9,60,233770.2,5.81,5.77,3.47
340,0.78,Premium,G,VS2,60.8,58,233770.2,6.03,5.95,3.64
341,0.71,Very Good,G,VS1,63.5,55,233770.2,5.66,5.64,3.59
342,0.91,Ideal,D,SI2,62.2,57,233770.2,6.21,6.15,3.85
343,0.71,Very Good,E,VS2,63.8,58,233853.6,5.62,5.66,3.6
344,0.71,Very Good,E,VS2,64,57,233853.6,5.66,5.68,3.63
345,0.8,Very Good,E,SI2,62.5,56,233853.6,5.88,5.96,3.7
346,0.7,Very Good,D,SI1,62.3,58,233853.6,5.69,5.73,3.56
347,0.72,Ideal,F,VS1,61.7,57,233853.6,5.74,5.77,3.55
348,0.72,Very Good,F,VS1,62.2,58,233853.6,5.75,5.7,3.56
349,0.82,Ideal,H,VS2,61.5,56,233853.6,6.01,6.08,3.72
350,0.7,Ideal,D,SI1,61,59,233853.6,5.68,5.7,3.47
351,0.72,Ideal,D,SI1,62.2,56,233853.6,5.74,5.77,3.58
352,0.72,Ideal,D,SI1,61.5,54,233853.6,5.77,5.8,3.56
353,0.9,Fair,I,SI1,67.3,59,233853.6,5.93,5.84,3.96
354,0.74,Premium,F,VS2,61.7,58,233937,5.85,5.78,3.59
355,0.74,Premium,F,VS2,61.9,56,233937,5.8,5.77,3.58
356,0.73,Ideal,E,SI2,61.8,58,233937,5.77,5.81,3.58
357,0.57,Fair,E,VVS1,58.7,66,233937,5.34,5.43,3.16
358,0.73,Premium,F,VS2,62.5,57,233937,5.75,5.7,3.58
